scorer,,,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk
bodyparts,,,nose,nose,chin,chin,left-eye-pupil,left-eye-pupil,left-of-left-eye,left-of-left-eye,top-of-left-eye,top-of-left-eye,right-of-left-eye,right-of-left-eye,bottom-of-left-eye,bottom-of-left-eye,right-eye-pupil,right-eye-pupil,left-of-right-eye,left-of-right-eye,top-of-right-eye,top-of-right-eye,right-of-right-eye,right-of-right-eye,bottom-of-right-eye,bottom-of-right-eye,left-of-left-ear,left-of-left-ear,right-of-left-ear,right-of-left-ear,left-of-right-ear,left-of-right-ear,right-of-right-ear,right-of-right-ear
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023_08_07_Leo-13h_27_11,img006.png,,,611.5757739951332,295.0185369214054,,,,,,,,,,,,,,,,,,,,,551.2295406350053,181.5676182043649,598.299602655905,186.39531687317512,,,,
labeled-data,2023_08_07_Leo-13h_27_11,img010.png,393.12240923147,211.1372725508276,394.32933389867253,240.103464563689,372.54453802619645,176.34414296323138,362.61572623204256,168.76689185716657,373.8509606306904,169.55074541986295,380.9056426949576,177.91185008862408,371.76068446350007,181.8311179021059,430.28841714482814,178.17313460952286,420.0983208297755,182.09240242300464,426.89171837314393,170.3345989825593,439.43337537628565,170.59588350345805,432.6399778329172,183.3988250274986,345.8935168945203,141.85458620459164,372.54453802619645,128.79036015965232,435.2528230419051,117.03255671920695,461.9038441735813,128.5290756387535
labeled-data,2023_08_07_Leo-13h_27_11,img035.png,513.7254283114089,187.03846864728905,489.164683346923,220.48288732233365,473.22632757209703,156.99074874392866,463.0362312570444,152.2876273677505,474.2714656556922,151.50377380505415,479.75844059456676,158.5584558693214,472.1811894885019,161.9551546410056,,,,,,,,,,,387.2637201963965,132.95257282124035,416.0050174952629,120.14963129719985,,,,
labeled-data,2023_08_07_Leo-13h_27_11,img046.png,408.16648186829934,110.48210402394476,411.04061159818605,146.5393679079772,378.118761964939,117.79807060911075,366.3609585244936,119.88834677630105,377.5961929231414,112.04981114933746,389.092711842688,117.0142170464144,379.1639000485341,123.28504554798526,431.9433732700889,111.78852662843869,422.014561475935,112.57238019113505,429.06924354020225,107.60797429405811,438.21420177165976,110.22081950304597,432.98851135368403,115.96907896281927,342.0614980809065,139.2234013228112,361.39655262741667,115.44650992102169,446.8365909613197,109.95953498214719,462.25237769434807,140.26853940640635
labeled-data,2023_08_07_Leo-13h_27_11,img075.png,420.70813887144107,173.97424260234976,412.34703420267994,207.94123031919193,385.17344402920617,153.85533449314323,372.89307154696326,150.98120476325659,387.0024356754977,148.8909285960663,397.1925319905504,156.72946422302988,386.7411511545989,159.08102491111896,437.4303482089634,157.25203326482745,428.80795901930344,158.5584558693214,435.86264108357074,151.50377380505412,446.5753064404209,155.16175709763715,438.9980553343561,162.73900820370193,337.61966122562717,183.11920083380727,353.0354479586555,148.10707503336994,451.5397123374978,140.52982392730513,463.0362312570444,159.60359395291653
labeled-data,2023_08_07_Leo-13h_27_11,img107.png,411.3018961190848,201.93168633851985,409.2116199518945,229.88913007468994,383.3444523829147,184.94819248009875,371.5866489424693,180.50635562481943,385.9572975919026,179.1999330203255,393.27326417706854,185.99333056369392,383.8670214247123,189.39002933537813,434.55621847907673,187.03846864728905,424.6274066849229,188.60617577268175,433.7723649163804,181.81277822931332,444.4850302732306,184.4256234383012,437.1690636880646,192.00287454436597,,,,,441.0883315015464,160.64873203651166,457.8105408390687,181.55149370841454
labeled-data,2023_08_07_Leo-13h_27_11,img146.png,404.5084985757163,223.87958609401787,401.8956533667285,250.26932270479526,377.3349084022426,196.70599592054413,367.9286656498863,192.00287454436597,377.5961929231414,192.52544358616356,385.95729759190255,200.10269469222834,377.0736238813438,200.6252637340259,426.978967373012,201.14783277582347,417.31144009975685,204.02196250571012,426.71768285211317,197.2285649623417,436.9077791671658,198.01241852503807,427.7628209357083,204.54453154750772,342.0614980809065,178.6773639785279,371.8479334633681,161.9551546410056,437.95291725076095,173.97424260234976,453.62998850468813,190.43516741897326
labeled-data,2023_08_07_Leo-13h_27_11,img179.png,390.3991344471819,252.62088339288434,381.5154607366232,276.6590593155727,366.88352756629115,217.08618855064944,354.864439604947,208.9863684027871,367.14481208718996,212.1217826535725,373.4156405887608,219.6990337596373,366.0996740035948,221.52802540592882,413.1308877653763,225.4472932194106,403.4633604921212,227.79885390749968,412.8696032444775,220.48288732233365,422.5371305177326,223.09573253132152,413.39217228627507,229.36656103289238,323.5102970970927,191.4803055025684,353.2967324795543,176.32580329043884,422.2758459968338,177.63222589493273,435.3400720417731,190.43516741897326
